facility_code,issue_info,facility_name,patient_name,tel_num,patient_ssn,fax_num,disease_code,doctor_name,license_type,license_no,med_name_1,med_name_2,med_name_3,med_name_4,med_name_5,med_name_6,med_name_7,dose_1,dose_2,dose_3,dose_4,dose_5,dose_6,dose_7,freq_1,freq_2,freq_3,freq_4,freq_5,freq_6,freq_7,days_1,days_2,days_3,days_4,days_5,days_6,days_7,med_usage,inject_in,inject_out,inject_name_1,inject_dose_1,inject_freq_1,inject_days_1,inject_name_2,inject_dose_2,inject_freq_2,inject_days_2,inject_name_3,inject_dose_3,inject_freq_3,inject_days_3,pharmacy_note,copay_code,valid_period,dispense_facility,change_note,pharmacist_name,dispense_amount,dispense_date
31987668,2024년 03월 29일 - 제 3791 호,세종스마일의원,김하린,044-777-8888,511018-2768621,044-777-8889,K59.0,정지성,의사,제 46837 호,클래리스로마이신정250mg,아지스로마이신정250mg,메트포르민정500mg,,,,,1정,1정,1정,,,,,2회,1회,2회,,,,,30일,30일,30일,,,,,자기전,[✓]원 내 조제,[  ]원 외 처방,리도카인주사,1앰플,1회,1일,온단세트론주사,1앰플,1회,1일,비타민B12주사,1앰플,1회,1일,,3,발급일부터 ( 3 )일간,,,,,
58277154,2024년 04월 17일 - 제 2959 호,창원성심의원,정서연,055-555-6666,530625-1186330,055-555-6667,J03.9,양성민,의사,제 58058 호,클래리스로마이신정250mg,,,,,,,1정,,,,,,,2회,,,,,,,14일,,,,,,,"매식(전,간,후) 30분 복용",[  ]원 내 조제,[  ]원 외 처방,,,,,,,,,,,,,,6,발급일부터 ( 3 )일간,,,,,
84004250,2025년 06월 08일 - 제 2896 호,부산가정의학과,오승현,051-234-5678,860615-1491694,051-234-5679,G43.9,최태양,한의사,제 20476 호,클래리스로마이신정250mg,,,,,,,1정,,,,,,,2회,,,,,,,2일,,,,,,,취침전,[✓]원 내 조제,[  ]원 외 처방,덱사메타손주사,1앰플,1회,1일,비타민C주사,1앰플,1회,1일,,,,,,1,발급일부터 ( 14 )일간,,,,,
32524584,2025년 05월 02일 - 제 1302 호,대전선병원의원,권현우,042-111-2222,861120-1156555,042-111-2223,K35.9,권민서,치과의사,제 26081 호,암로디핀정10mg,,,,,,,1정,,,,,,,1회,,,,,,,30일,,,,,,,매식후,[  ]원 내 조제,[  ]원 외 처방,,,,,,,,,,,,,,3,발급일부터 ( 3 )일간,,,,,
90722670,2024년 07월 13일 - 제 6989 호,부천중앙의원,최소연,032-333-4444,630905-2783156,032-333-4445,M54.5,장민서,의사,제 65101 호,프레드니솔론정5mg,메트포르민정500mg,덱사메타손정0.5mg,돔페리돈정10mg,시메티딘정400mg,아목시실린캡슐500mg,,1정,1정,1정,1정,1정,1캡슐,,2회,2회,3회,3회,2회,3회,,7일,7일,7일,7일,7일,7일,,"매식(전,간,후) 30분 복용",[  ]원 내 조제,[  ]원 외 처방,,,,,,,,,,,,,,,발급일부터 ( 30 )일간,,,,,
10951129,2024년 03월 12일 - 제 891 호,대전선병원의원,손준혁,042-111-2222,520122-2847265,042-111-2223,K35.9,송수연,치과의사,제 66714 호,로사르탄정50mg,,,,,,,1정,,,,,,,1회,,,,,,,5일,,,,,,,매식후,[  ]원 내 조제,[  ]원 외 처방,,,,,,,,,,,,,,5,발급일부터 ( 30 )일간,,,,,
75672281,2024년 08월 20일 - 제 4240 호,서울내과의원,박현준,02-1234-5678,950225-2991789,02-1234-5679,J00,고현수,한의사,제 65627 호,글리메피리드정2mg,메트포르민정1000mg,세팔렉신캡슐500mg,레보플록사신정500mg,펙소페나딘정120mg,아스피린정100mg,,1정,1정,1캡슐,1정,1정,1정,,1회,2회,3회,1회,2회,1회,,2일,2일,2일,2일,2일,2일,,"매식(전,간,후) 30분 복용",[  ]원 내 조제,[  ]원 외 처방,,,,,,,,,,,,,,4,발급일부터 ( 7 )일간,,,,,
51290110,2024년 06월 01일 - 제 2471 호,울산바른의원,황지성,052-890-1234,870814-1413701,052-890-1235,L23.9,문예준,치과의사,제 63046 호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[  ]원 내 조제,[  ]원 외 처방,,,,,,,,,,,,,빛을 피해 보관,4,발급일부터 ( 7 )일간,,,,,
20373364,2025년 03월 18일 - 제 1478 호,창원성심의원,오민호,055-555-6666,511003-1740133,055-555-6667,G43.9,황예린,치과의사,제 91276 호,세티리진정10mg,이부프로펜정400mg,덱사메타손정0.5mg,,,,,1정,1정,1정,,,,,1회,2회,3회,,,,,14일,14일,14일,,,,,아침저녁식후,[  ]원 내 조제,[  ]원 외 처방,,,,,,,,,,,,,,4,발급일부터 ( 30 )일간,,,,,
11964929,2025년 05월 18일 - 제 9449 호,전주사랑의원,백성민,063-901-2345,710616-1792962,063-901-2346,J45.9,이예은,한의사,제 66068 호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[✓]원 내 조제,[  ]원 외 처방,온단세트론주사,1앰플,1회,1일,생리식염수주사,1앰플,1회,1일,,,,,,5,발급일부터 ( 30 )일간,,,,,
15514516,2024년 10월 11일 - 제 6546 호,강릉동인의원,전성준,033-999-0000,740101-1391023,033-999-0001,M54.5,조서현,치과의사,제 16064 호,모사프리드정5mg,판토프라졸정40mg,클래리스로마이신정250mg,돔페리돈정10mg,암로디핀정10mg,,,1정,1정,1정,1정,1정,,,3회,1회,2회,3회,1회,,,7일,7일,7일,7일,7일,,,매식간,[✓]원 내 조제,[  ]원 외 처방,덱사메타손주사,1앰플,1회,1일,메토클로프라미드주사,1앰플,1회,1일,,,,,냉장보관,5,발급일부터 ( 7 )일간,,,,,
39830457,2025년 11월 23일 - 제 6298 호,안산연세의원,정다현,031-444-5555,800423-2240889,031-444-5556,K21.0,오수연,치과의사,제 39253 호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[  ]원 내 조제,[  ]원 외 처방,,,,,,,,,,,,,,1,발급일부터 ( 3 )일간,,,,,
55008590,2025년 10월 04일 - 제 4264 호,인천중앙의원,고채원,032-567-8901,820112-2924714,032-567-8902,Z00.0,윤준서,한의사,제 66489 호,돔페리돈정10mg,,,,,,,1정,,,,,,,3회,,,,,,,14일,,,,,,,매식전,[✓]원 내 조제,[  ]원 외 처방,메토클로프라미드주사,1앰플,1회,1일,,,,,,,,,,6,발급일부터 ( 7 )일간,,,,,
94747029,2025년 11월 06일 - 제 7006 호,강릉동인의원,정하은,033-999-0000,541224-1141552,033-999-0001,I10,정유진,의사,제 89807 호,덱사메타손정0.5mg,로라타딘정10mg,,,,,,1정,1정,,,,,,3회,1회,,,,,,2일,2일,,,,,,아침공복,[  ]원 내 조제,[  ]원 외 처방,,,,,,,,,,,,,,4,발급일부터 ( 30 )일간,,,,,
90569798,2025년 10월 25일 - 제 1640 호,서울내과의원,문태양,02-1234-5678,520826-1315988,02-1234-5679,I10,홍성민,의사,제 21743 호,세팔렉신캡슐500mg,펙소페나딘정120mg,암로디핀정5mg,판토프라졸정40mg,독시사이클린캡슐100mg,암로디핀정10mg,,1캡슐,1정,1정,1정,1캡슐,1정,,3회,1회,1회,1회,1회,1회,,1일,1일,1일,1일,1일,1일,,매식후,[✓]원 내 조제,[  ]원 외 처방,생리식염수주사,1앰플,1회,1일,덱사메타손주사,1앰플,1회,1일,비타민C주사,1앰플,1회,1일,,5,발급일부터 ( 3 )일간,,,,,
22352776,2025년 12월 15일 - 제 9205 호,인천중앙의원,백준혁,032-567-8901,571010-2325094,032-567-8902,J20.9,박예린,치과의사,제 70853 호,클로르페니라민정4mg,,,,,,,1정,,,,,,,3회,,,,,,,30일,,,,,,,취침전,[✓]원 내 조제,[  ]원 외 처방,리도카인주사,1앰플,1회,1일,덱사메타손주사,1앰플,1회,1일,비타민B12주사,1앰플,1회,1일,,4,발급일부터 ( 3 )일간,,,,,
21579291,2025년 06월 09일 - 제 9247 호,창원성심의원,오서윤,055-555-6666,811018-2684680,055-555-6667,E11.9,이채원,치과의사,제 93085 호,프레드니솔론정5mg,판토프라졸정40mg,세팔렉신캡슐500mg,아목시실린캡슐500mg,로라타딘정10mg,아지스로마이신정250mg,,1정,1정,1캡슐,1캡슐,1정,1정,,1회,1회,3회,3회,1회,1회,,2일,2일,2일,2일,2일,2일,,매식간,[  ]원 내 조제,[  ]원 외 처방,,,,,,,,,,,,,,2,발급일부터 ( 7 )일간,,,,,
13743781,2025년 09월 20일 - 제 2122 호,대구미래의원,장하준,053-789-0123,970603-1184180,053-789-0124,H10.9,권채원,한의사,제 23074 호,메트포르민정500mg,돔페리돈정10mg,타이레놀정500밀리그램,아스피린정100mg,덱사메타손정0.5mg,,,1정,1정,1정,1정,1정,,,2회,3회,2회,1회,3회,,,1일,1일,1일,1일,1일,,,아침저녁식후,[✓]원 내 조제,[  ]원 외 처방,리도카인주사,1앰플,1회,1일,,,,,,,,,,,발급일부터 ( 30 )일간,,,,,
33687174,2024년 12월 15일 - 제 5949 호,대구미래의원,배서윤,053-789-0123,811010-1530654,053-789-0124,N39.0,조유진,한의사,제 96314 호,아목시실린캡슐250mg,,,,,,,1캡슐,,,,,,,3회,,,,,,,1일,,,,,,,아침공복,[  ]원 내 조제,[  ]원 외 처방,,,,,,,,,,,,,,1,발급일부터 ( 30 )일간,,,,,
59027229,2025년 09월 29일 - 제 474 호,안산연세의원,심나은,031-444-5555,650714-1694417,031-444-5556,H10.9,박하은,한의사,제 99833 호,시메티딘정400mg,아지스로마이신정250mg,아스피린정100mg,프레드니솔론정5mg,,,,1정,1정,1정,1정,,,,2회,1회,1회,1회,,,,7일,7일,7일,7일,,,,매식전,[  ]원 내 조제,[✓]원 외 처방,트라넥삼산주사,1앰플,1회,1일,,,,,,,,,,5,발급일부터 ( 3 )일간,,,,,
72217503,2024년 01월 02일 - 제 8263 호,창원성심의원,정다은,055-555-6666,690520-1488249,055-555-6667,Z00.0,송미래,한의사,제 57286 호,아스피린정100mg,모사프리드정5mg,,,,,,1정,1정,,,,,,1회,3회,,,,,,5일,5일,,,,,,자기전,[  ]원 내 조제,[  ]원 외 처방,,,,,,,,,,,,,,,발급일부터 ( 7 )일간,,,,,
26478260,2025년 03월 28일 - 제 9977 호,안산연세의원,오민서,031-444-5555,860410-1338790,031-444-5556,G43.9,강도윤,한의사,제 62985 호,프레드니솔론정5mg,클로르페니라민정4mg,암로디핀정5mg,,,,,1정,1정,1정,,,,,2회,3회,1회,,,,,5일,5일,5일,,,,,매식간,[  ]원 내 조제,[  ]원 외 처방,,,,,,,,,,,,,,3,발급일부터 ( 7 )일간,,,,,
55037797,2025년 11월 07일 - 제 2716 호,인천중앙의원,이준서,032-567-8901,790915-1595598,032-567-8902,J18.9,한지성,치과의사,제 86352 호,글리메피리드정2mg,덱사메타손정0.5mg,,,,,,1정,1정,,,,,,1회,3회,,,,,,14일,14일,,,,,,아침식후,[  ]원 내 조제,[✓]원 외 처방,덱사메타손주사,1앰플,1회,1일,생리식염수주사,1앰플,1회,1일,메토클로프라미드주사,1앰플,1회,1일,,1,발급일부터 ( 14 )일간,,,,,
75986639,2024년 07월 26일 - 제 7122 호,인천중앙의원,송도현,032-567-8901,771206-2641686,032-567-8902,E11.9,권도윤,치과의사,제 56812 호,아지스로마이신정250mg,로라타딘정10mg,세티리진정10mg,,,,,1정,1정,1정,,,,,1회,1회,1회,,,,,1일,1일,1일,,,,,"매식(전,간,후) 30분 복용",[  ]원 내 조제,[  ]원 외 처방,,,,,,,,,,,,,,3,발급일부터 ( 7 )일간,,,,,
20919971,2024년 04월 18일 - 제 4369 호,대전선병원의원,손지유,042-111-2222,891117-1567496,042-111-2223,R05,이현우,한의사,제 29748 호,암로디핀정5mg,세팔렉신캡슐500mg,레보세티리진정5mg,레보플록사신정500mg,프레드니솔론정5mg,로사르탄정50mg,,1정,1캡슐,1정,1정,1정,1정,,1회,3회,1회,1회,1회,1회,,14일,14일,14일,14일,14일,14일,,매식전,[  ]원 내 조제,[✓]원 외 처방,리도카인주사,1앰플,1회,1일,,,,,,,,,빛을 피해 보관,3,발급일부터 ( 30 )일간,,,,,
21794476,2024년 01월 31일 - 제 8436 호,부천중앙의원,백혜린,032-333-4444,700613-1799478,032-333-4445,K92.1,강민재,한의사,제 29386 호,세팔렉신캡슐500mg,,,,,,,1캡슐,,,,,,,3회,,,,,,,3일,,,,,,,자기전,[  ]원 내 조제,[  ]원 외 처방,,,,,,,,,,,,,,6,발급일부터 ( 14 )일간,,,,,
85432365,2025년 02월 06일 - 제 7774 호,청주오즈코딩의원,오지민,043-123-4567,861012-2306044,043-123-4568,K92.1,정소연,한의사,제 13568 호,메트포르민정500mg,로사르탄정50mg,암로디핀정10mg,아목시실린캡슐250mg,판토프라졸정40mg,타이레놀정500밀리그램,,1정,1정,1정,1캡슐,1정,1정,,2회,1회,1회,3회,1회,3회,,7일,7일,7일,7일,7일,7일,,자기전,[  ]원 내 조제,[✓]원 외 처방,트라넥삼산주사,1앰플,1회,1일,,,,,,,,,,4,발급일부터 ( 7 )일간,,,,,
77787523,2025년 04월 08일 - 제 2240 호,목포중앙의원,허성준,061-888-9999,900413-1580936,061-888-9990,F41.1,홍수빈,치과의사,제 12549 호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[✓]원 내 조제,[  ]원 외 처방,비타민B12주사,1앰플,1회,1일,,,,,,,,,,2,발급일부터 ( 7 )일간,,,,,
24882605,2025년 12월 07일 - 제 5565 호,강릉동인의원,고준혁,033-999-0000,960317-1723825,033-999-0001,N39.0,장혜린,치과의사,제 76994 호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[  ]원 내 조제,[  ]원 외 처방,,,,,,,,,,,,,,2,발급일부터 ( 3 )일간,,,,,
42566072,2024년 08월 26일 - 제 1878 호,강릉동인의원,정태양,033-999-0000,770821-1481104,033-999-0001,J18.9,황지유,치과의사,제 99317 호,판토프라졸정40mg,돔페리돈정10mg,클로르페니라민정4mg,프레드니솔론정5mg,트리메부틴정100mg,아스피린정100mg,,1정,1정,1정,1정,1정,1정,,1회,3회,3회,2회,3회,1회,,7일,7일,7일,7일,7일,7일,,취침전,[  ]원 내 조제,[  ]원 외 처방,,,,,,,,,,,,,,,발급일부터 ( 14 )일간,,,,,
62428329,2025년 04월 12일 - 제 582 호,울산바른의원,전수빈,052-890-1234,580512-1745217,052-890-1235,J31.0,문시우,의사,제 16792 호,모사프리드정5mg,나프록센정250mg,클래리스로마이신정250mg,타이레놀정500밀리그램,,,,1정,1정,1정,1정,,,,3회,2회,2회,2회,,,,7일,7일,7일,7일,,,,매식간,[✓]원 내 조제,[  ]원 외 처방,페니라민주사,1앰플,1회,1일,부스코판주사,1앰플,1회,1일,,,,,,2,발급일부터 ( 3 )일간,,,,,
27549523,2025년 04월 06일 - 제 3983 호,인천중앙의원,고예린,032-567-8901,780122-1786305,032-567-8902,K21.0,송민재,치과의사,제 96087 호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[  ]원 내 조제,[✓]원 외 처방,온단세트론주사,1앰플,1회,1일,,,,,,,,,,2,발급일부터 ( 14 )일간,,,,,
38686858,2024년 11월 22일 - 제 2065 호,전주사랑의원,최재원,063-901-2345,500704-1704575,063-901-2346,N39.0,문재원,치과의사,제 37401 호,독시사이클린캡슐100mg,세팔렉신캡슐500mg,시메티딘정400mg,,,,,1캡슐,1캡슐,1정,,,,,2회,3회,2회,,,,,30일,30일,30일,,,,,"매식(전,간,후) 30분 복용",[  ]원 내 조제,[✓]원 외 처방,페니라민주사,1앰플,1회,1일,온단세트론주사,1앰플,1회,1일,,,,,,2,발급일부터 ( 14 )일간,,,,,
21385113,2024년 03월 17일 - 제 6913 호,창원성심의원,강유진,055-555-6666,850808-2694466,055-555-6667,J06.9,송채원,한의사,제 13473 호,세팔렉신캡슐500mg,,,,,,,1캡슐,,,,,,,3회,,,,,,,3일,,,,,,,아침식후,[✓]원 내 조제,[  ]원 외 처방,비타민C주사,1앰플,1회,1일,케토롤락주사,1앰플,1회,1일,,,,,빛을 피해 보관,6,발급일부터 ( 3 )일간,,,,,
33978820,2025년 05월 21일 - 제 9165 호,수원365의원,강주원,031-678-9012,841012-2523442,031-678-9013,J18.9,권소연,의사,제 50544 호,오메프라졸캡슐20mg,글리메피리드정2mg,독시사이클린캡슐100mg,,,,,1캡슐,1정,1캡슐,,,,,1회,1회,2회,,,,,3일,3일,3일,,,,,매식후,[  ]원 내 조제,[  ]원 외 처방,,,,,,,,,,,,,,5,발급일부터 ( 14 )일간,,,,,
56609617,2025년 09월 22일 - 제 5099 호,수원365의원,조성준,031-678-9012,580312-1933854,031-678-9013,L23.9,이도윤,의사,제 89055 호,클래리스로마이신정250mg,,,,,,,1정,,,,,,,2회,,,,,,,5일,,,,,,,매식전,[✓]원 내 조제,[  ]원 외 처방,부스코판주사,1앰플,1회,1일,비타민C주사,1앰플,1회,1일,페니라민주사,1앰플,1회,1일,빛을 피해 보관,5,발급일부터 ( 30 )일간,,,,,
60662915,2024년 02월 26일 - 제 394 호,세종스마일의원,배다은,044-777-8888,601025-1491182,044-777-8889,N39.0,한승현,의사,제 58001 호,덱사메타손정0.5mg,레보플록사신정500mg,,,,,,1정,1정,,,,,,3회,1회,,,,,,30일,30일,,,,,,자기전,[  ]원 내 조제,[✓]원 외 처방,비타민C주사,1앰플,1회,1일,,,,,,,,,,6,발급일부터 ( 14 )일간,,,,,
17581323,2024년 04월 11일 - 제 1360 호,부산가정의학과,권혜린,051-234-5678,520502-1322860,051-234-5679,J31.0,송도윤,의사,제 47666 호,세티리진정10mg,,,,,,,1정,,,,,,,1회,,,,,,,1일,,,,,,,매식후,[  ]원 내 조제,[✓]원 외 처방,케토롤락주사,1앰플,1회,1일,메토클로프라미드주사,1앰플,1회,1일,,,,,,3,발급일부터 ( 7 )일간,,,,,
63859371,2024년 01월 10일 - 제 6481 호,전주사랑의원,류지유,063-901-2345,560209-1400110,063-901-2346,J31.0,홍성준,의사,제 15796 호,시메티딘정400mg,아목시실린캡슐250mg,세티리진정10mg,판토프라졸정40mg,,,,1정,1캡슐,1정,1정,,,,2회,3회,1회,1회,,,,1일,1일,1일,1일,,,,취침전,[✓]원 내 조제,[  ]원 외 처방,케토롤락주사,1앰플,1회,1일,메토클로프라미드주사,1앰플,1회,1일,,,,,빛을 피해 보관,,발급일부터 ( 30 )일간,,,,,
26371790,2024년 10월 13일 - 제 2208 호,부천중앙의원,조지현,032-333-4444,770423-1312944,032-333-4445,N39.0,최준서,치과의사,제 24960 호,메트포르민정500mg,아지스로마이신정250mg,,,,,,1정,1정,,,,,,2회,1회,,,,,,14일,14일,,,,,,아침저녁식후,[  ]원 내 조제,[  ]원 외 처방,,,,,,,,,,,,,,3,발급일부터 ( 3 )일간,,,,,
98813396,2024년 04월 05일 - 제 2204 호,수원365의원,권서연,031-678-9012,510814-2152992,031-678-9013,F41.1,고민재,한의사,제 22077 호,로라타딘정10mg,클래리스로마이신정250mg,레보세티리진정5mg,프레드니솔론정5mg,,,,1정,1정,1정,1정,,,,1회,2회,1회,3회,,,,2일,2일,2일,2일,,,,매식전,[  ]원 내 조제,[  ]원 외 처방,,,,,,,,,,,,,냉장보관,3,발급일부터 ( 7 )일간,,,,,
58079880,2025년 05월 19일 - 제 5573 호,대전연세의원,최지민,042-345-6789,680326-1584780,042-345-6780,L23.9,윤수아,의사,제 85089 호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[  ]원 내 조제,[  ]원 외 처방,,,,,,,,,,,,,냉장보관,3,발급일부터 ( 3 )일간,,,,,
57089911,2025년 06월 23일 - 제 174 호,천안보훈의원,이승현,041-666-7777,670707-1485860,041-666-7778,K21.0,김승현,한의사,제 37281 호,시메티딘정400mg,클로르페니라민정4mg,글리메피리드정2mg,,,,,1정,1정,1정,,,,,2회,3회,1회,,,,,1일,1일,1일,,,,,자기전,[  ]원 내 조제,[✓]원 외 처방,온단세트론주사,1앰플,1회,1일,비타민C주사,1앰플,1회,1일,,,,,,6,발급일부터 ( 3 )일간,,,,,
41170905,2024년 12월 22일 - 제 6022 호,전주사랑의원,백채원,063-901-2345,760711-2441387,063-901-2346,K35.9,한현우,치과의사,제 90083 호,타이레놀정500밀리그램,글리메피리드정2mg,클래리스로마이신정250mg,펙소페나딘정120mg,,,,1정,1정,1정,1정,,,,3회,1회,2회,2회,,,,7일,7일,7일,7일,,,,매식후,[✓]원 내 조제,[  ]원 외 처방,리도카인주사,1앰플,1회,1일,비타민C주사,1앰플,1회,1일,비타민B12주사,1앰플,1회,1일,빛을 피해 보관,6,발급일부터 ( 30 )일간,,,,,
30615470,2024년 06월 03일 - 제 9515 호,목포중앙의원,이준서,061-888-9999,650711-1166482,061-888-9990,R05,양다현,치과의사,제 38021 호,이부프로펜정400mg,메트포르민정500mg,아목시실린캡슐250mg,,,,,1정,1정,1캡슐,,,,,3회,2회,3회,,,,,1일,1일,1일,,,,,매식간,[✓]원 내 조제,[  ]원 외 처방,케토롤락주사,1앰플,1회,1일,,,,,,,,,,3,발급일부터 ( 3 )일간,,,,,
71866942,2025년 06월 06일 - 제 1377 호,수원365의원,최지성,031-678-9012,700627-1139615,031-678-9013,K29.7,최다현,한의사,제 95000 호,세티리진정10mg,이부프로펜정400mg,트리메부틴정100mg,로사르탄정50mg,,,,1정,1정,1정,1정,,,,1회,2회,3회,1회,,,,3일,3일,3일,3일,,,,매식전,[  ]원 내 조제,[  ]원 외 처방,,,,,,,,,,,,,냉장보관,4,발급일부터 ( 14 )일간,,,,,
31843201,2024년 08월 15일 - 제 366 호,목포중앙의원,허지성,061-888-9999,550127-1244708,061-888-9990,Z00.0,고하은,한의사,제 20457 호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[  ]원 내 조제,[  ]원 외 처방,,,,,,,,,,,,,,2,발급일부터 ( 30 )일간,,,,,
27703782,2024년 08월 01일 - 제 1184 호,울산바른의원,남현우,052-890-1234,540701-2256890,052-890-1235,E11.9,박민서,치과의사,제 27401 호,세팔렉신캡슐500mg,돔페리돈정10mg,,,,,,1캡슐,1정,,,,,,3회,3회,,,,,,1일,1일,,,,,,아침공복,[  ]원 내 조제,[✓]원 외 처방,덱사메타손주사,1앰플,1회,1일,리도카인주사,1앰플,1회,1일,,,,,,6,발급일부터 ( 7 )일간,,,,,
